Date Raw;Date Parsed;Breeding ETH;Breeding USD;Breeding AXS;Marketplace ETH;Marketplace USD
1624752000000;06/27/2021;2969.6730000000002;7151167.601000002;1668705;2818.0895203755063;6514161.574957504
1624838400000;06/28/2021;3101.371;7410675.291000002;1738387;2958.347704734536;6791020.968177507
1624924800000;06/29/2021;3253.7870000000003;7729227.544000002;1818445;3104.984327871451;7097127.654695012
1625011200000;06/30/2021;3573.3190000000004;8423325.996000001;1969083;3300.857435190595;7521228.220990009
1625097600000;07/01/2021;3915.8040000000005;9204715.789;2105647;3491.3856366964324;7954512.0310124885
1625184000000;07/02/2021;4464.624000000001;10369933.101;2305971;3736.798078135931;8474294.73167248
1625270400000;07/03/2021;5073.814;11681022.561;2519019;4034.450795522553;9117168.01547
1625356800000;07/04/2021;5854.323;13422363.761;2740183;4348.188977675405;9817351.430157507
1625443200000;07/05/2021;6735.008;15468201.59;2970459;4644.5522738522495;10507155.51830503
1625529600000;07/06/2021;7632.271999999998;17458923.821000002;3215295;4972.561747450084;11234451.512192534
1625616000000;07/07/2021;8808.236999999997;20189185.415000003;3463107;5279.249212087857;11946186.78413504
1625702400000;07/08/2021;10346.715999999997;23754369.019;3721427;5732.489138967254;12996451.08594253
1625788800000;07/09/2021;11955.524999999996;27173960.023000002;4002623;6211.466625537841;14014968.600347519
1625875200000;07/10/2021;14046.261999999997;31683263.35;4273335;6749.1372359491525;15174498.794762412
1625961600000;07/11/2021;16523.659999999996;36945026.816;4566487;7235.898071813718;16206618.76481742
1626048000000;07/12/2021;19145.359999999997;42520125.558;4860063;7660.173608763016;17116037.18640742
1626134400000;07/13/2021;20255.264999999996;44787980.408;4987763;8086.799103935545;17987419.461112425
1626220800000;07/14/2021;24008.346999999994;52072552.648;5338615;8851.971672984302;19475217.24981484
1626307200000;07/15/2021;27428.453999999994;58899559.096;5633099;9540.630234168504;20850925.196732342
1626393600000;07/16/2021;31955.156999999996;67562943.272;5997115;10096.440202275677;21914783.72793235
1626480000000;07/17/2021;34799.19499999999;72868098.856;6254087;10527.958562421038;22724614.674347345
1626566400000;07/18/2021;36362.93899999999;75842239.76900001;6415031;10865.445014140776;23365785.870714836
1626652800000;07/19/2021;38517.38699999999;79948257.52000001;6633751;11254.169081092485;24106414.189869832
1626739200000;07/20/2021;40427.64999999999;83441015.32900001;6838071;11652.443595944114;24833237.05994483
1626825600000;07/21/2021;41839.93599999999;85975203.68;7004875;12010.612547972534;25476066.37094732
1626912000000;07/22/2021;44505.66599999999;91316584.518;7245667;12415.838961451902;26287110.757557318
1626998400000;07/23/2021;47303.02499999999;96986327.73900001;7470247;13030.772775274045;27533909.62262736
1627084800000;07/24/2021;51311.65999999999;105472278.486;7668711;13542.278134099934;28616874.709634926
1627171200000;07/25/2021;56312.05199999999;116418922.641;7926879;14075.834781433938;29781963.614667416
1627257600000;07/26/2021;60396.05799999999;125444668.235;8134859;14447.34586040392;30602817.096222416
1627344000000;07/27/2021;63299.52899999999;131935636.879;8295667;14796.14648103182;31380716.448914897
1627430400000;07/28/2021;68289.91599999998;143401178.627;8538511;15247.439546311292;32415341.75189494
1627516800000;07/29/2021;73804.84199999998;156096308.95700002;8814531;15789.990746049705;33663041.01452742
1627603200000;07/30/2021;79250.07999999997;169048980.465;9106199;16292.152327429767;34859914.65997238
1627689600000;07/31/2021;84241.71099999997;181309884.41300002;9390195;16771.75685703295;36040620.10878737
1627776000000;08/01/2021;88860.39999999997;192994448.386;9663707;17207.384823715896;37145388.97538494
1627862400000;08/02/2021;92884.27499999997;203276054.338;9933359;17646.288480486674;38267295.858352445
1627948800000;08/03/2021;97629.61899999996;215677950.395;10240831;18215.00217822595;39748420.66030249
1628035200000;08/04/2021;101840.03299999997;226293591.97;10516351;18689.714425824102;40941677.039925024
1628121600000;08/05/2021;107589.43199999997;241961624.91399997;10872927;19192.184500514155;42310672.91951254
1628208000000;08/06/2021;113274.50199999996;257991349.73299998;11248723;19728.575174511563;43830476.48377507
1628294400000;08/07/2021;118066.56499999997;271800652.052;11573019;20120.862801420266;44963870.74559008
1628380800000;08/08/2021;122572.82499999997;286028924.458;11916855;20523.376494981472;46237064.485857554
1628467200000;08/09/2021;126859.88199999997;298867982.392;12221467;20989.55938466697;47641242.5123376
1628553600000;08/10/2021;129876.12599999997;308404310.87;12439963;21402.426075417432;48949317.14577015
1628640000000;08/11/2021;133316.38899999997;319235904.94600004;12609891;21869.463554267713;50418710.881395176
1628726400000;08/12/2021;137209.99399999998;331619295.73700005;12795559;22328.33631961666;51871012.02001765
1628812800000;08/13/2021;140584.118;341950642.37100005;12951405;22710.41844812469;53037429.153495096
1628899200000;08/14/2021;144021.144;353316002.558;13112891;23096.82998190642;54319937.96624264
1628985600000;08/15/2021;147137.876;363484329.902;13263229;23459.868922437763;55507084.26251763
1629072000000;08/16/2021;150065.587;373214860.66400003;13407485;23855.20900653115;56816162.083332665
1629158400000;08/17/2021;153110.47;382789309.15300006;13551421;24291.069112051555;58190285.529142536
1629244800000;08/18/2021;156607.672;393310902.80200005;13699427;24705.7241507697;59438672.67752258
1629331200000;08/19/2021;160178.789;404167644.267;13855151;25135.151112386564;60741850.757477544
1629417600000;08/20/2021;163461.04799999998;414415989.227;13998951;25536.859848544653;62006890.783835106
1629504000000;08/21/2021;166095.52199999997;423282292.506;14116559;25898.95248114278;63191694.24215266
1629590400000;08/22/2021;168744.09699999998;431805508.696;14227711;26196.09763343602;64149362.9990827
1629676800000;08/23/2021;171497.78799999997;440730277.408;14343609;26494.97384130866;65118763.87574267
1629763200000;08/24/2021;174223.74199999997;449765958.619;14461347;26815.843513283995;66183832.775280155
1629849600000;08/25/2021;176610.14899999998;457346090.39000005;14570087;27116.47059028711;67138990.86073266
1629936000000;08/26/2021;180080.60199999998;468509088.36800003;14724225;27429.594192097244;68150789.96502262
1630022400000;08/27/2021;183353.35199999998;478675021.833;14869679;27729.87929755211;69086341.6817051
1630108800000;08/28/2021;185909.30099999998;487052674.449;14983531;28028.6308850481;70063793.19218032
1630195200000;08/29/2021;188366.884;495041700.614;15090585;28306.010706412453;70965759.47277531
1630281600000;08/30/2021;190720.036;502618986.185;15187327;28580.72916582713;71853458.68085028
1630368000000;08/31/2021;193100.61599999998;510302689.226;15291985;28835.256182356738;72676288.79252529
1630454400000;09/01/2021;195512.46899999998;518563637.003;15406231;29054.783281824803;73428683.0001678
1630540800000;09/02/2021;197428.80299999999;525804921.513;15504349;29294.779354880404;74343162.12736283
1630627200000;09/03/2021;199043.373;531915279.532;15588625;29527.939676680067;75227120.42619282
1630713600000;09/04/2021;200680.323;538333305.517;15675699;29794.96784300503;76277638.88335527
1630800000000;09/05/2021;202855.279;546824676.961;15777883;30054.361817338104;77285517.35083027
1630886400000;09/06/2021;205359.291;556715901.861;15898177;30316.536978622218;78321077.05048026
1630972800000;09/07/2021;207813.93;566406815.777;16020337;30586.337250620734;79383612.05309778
1631059200000;09/08/2021;210090.004;574349090.267;16142229;30844.123516396165;80266705.83609529
1631145600000;09/09/2021;212404.81999999998;582492497.037;16261327;31089.314927658033;81125667.38248283
1631232000000;09/10/2021;214764.91999999998;590606667.959;16378647;31338.118023802803;81981008.44222784
1631318400000;09/11/2021;217368.62099999998;598952538.435;16505907;31577.5705549953;82750873.81898037
1631404800000;09/12/2021;219800.884;606914351.54;16621629;31784.19622058339;83426922.70834789
1631491200000;09/13/2021;222037.786;614569823.7659999;16730701;31988.111099423004;84123962.3408304
1631577600000;09/14/2021;224053.175;621200058.2839999;16832725;32191.27844990958;84792742.63310297
1631664000000;09/15/2021;226149.109;628364244.2739999;16940289;32398.953074296067;85507286.64606552
1631750400000;09/16/2021;228229.501;635827633.2329999;17049173;32597.217101717553;86220410.83228804
1631836800000;09/17/2021;230122.51499999998;642589635.0079999;17149505;32783.674452973464;86886612.89478551
1631923200000;09/18/2021;232208.906;649706162.999;17257545;32977.65832277244;87548288.69708304
1632009600000;09/19/2021;233986.15;655804190.532;17349989;33150.24150219872;88140120.31974556
1632096000000;09/20/2021;235823.914;661934784.653;17445939;33264.28355033511;88520551.45837805
1632182400000;09/21/2021;237718.531;667529887.594;17548383;33264.28355033511;88520551.45837805
1632268800000;09/22/2021;239477.922;672391824.462;17644433;33455.78929481754;89046064.49383555
